# Curated nutrition for local Malaysian dishes, per 100g of the dish as served.
#
# Why this file exists: USDA's search covers American foods and generic
# ingredients, and has no entry for any composite Malaysian dish. Asked about
# one it still answers — a benchmark of 30 local dishes had 26% of its USDA
# matches come back arithmetically impossible ("nasi lemak" resolved to plain
# chicken with 0g carbohydrate; "black pepper chicken chop rice" to the spice
# itself). This table is consulted first so recognised dishes never reach that
# lookup, and USDA is left to do what it is actually good at: single ingredients.
#
# Values are curated approximations assembled from published Malaysian serving
# figures and typical stall portions, intended for ranking dishes against one
# another rather than for clinical use. Macros reconcile with the stated energy
# at 4/4/9 to within a few percent.
#
# Format: canonical | aliases (; separated) | kcal | protein | carbs | fat | fibre | sugar | sodium | foodGroup | fried
# Matching is case-insensitive on the longest alias contained in the dish name,
# so a more specific row always beats a more general one.

# --- rice ---
beef rendang|rendang daging;rendang|253|17|5|18|1.2|2|380|protein|false

# --- noodles ---
char kway teow|char koay teow;char kuey teow;kway teow goreng;fried kway teow|213|5.7|25|9.4|1.2|1.5|500|grain|true
asam laksa|penang asam laksa;laksa asam|80|4|12.4|1.6|1.1|2.2|520|grain|false
curry laksa|curry mee;laksa lemak;nyonya laksa;kari laksa|120|4.4|12|6|0.9|1.4|300|grain|false
sarawak laksa|laksa sarawak|110|5|12|5|0.9|1.2|480|grain|false
hokkien mee|kl hokkien mee;hokkien char mee|165|6.5|18|7.5|1|1.2|400|grain|true
mee goreng mamak|mee goreng;mi goreng;maggi goreng|189|6|25|6.5|1.4|2.5|420|grain|true
wantan mee|wanton mee;wan tan mee;wonton noodles|136|7.3|19|3.3|1.3|1|430|grain|false
mee rebus|mi rebus|100|4.5|14|2.7|1.2|2.5|330|grain|false
koay teow th ng|koay teow theng;kuey teow soup;kway teow th ng|67|4.4|10|1|0.6|0.6|350|grain|false
pan mee|banmian;pan mian|120|6|17|3|1.2|1|400|grain|false
kolo mee|kolok mee|160|8|21|4.7|1|1.5|450|grain|false
wat tan hor|char hor fun;wan tan hor|142|6.5|17|5|0.9|1.5|430|grain|false
lor mee|loh mee|111|5.5|16|2.7|1|1.5|480|grain|false
mee siam|mi siam|113|4|17|3|1.2|3.5|400|grain|false
bihun sup|beehoon soup;mee hoon sup|71|4.5|10|1.3|0.8|1|380|grain|false
chee cheong fun|chi cheong fun;rice noodle roll|120|3|22|2.5|0.8|3|400|grain|false

# --- meat, fish and soups ---
bak kut teh|bakuteh;pork rib herbal soup|81|7.5|1.5|5|0.4|0.5|450|protein|false
chicken satay|satay ayam;sate ayam;satay|200|15|8|12|1|5|300|protein|false
ikan bakar|grilled fish;sambal stingray;ikan panggang|140|18|3|6.5|0.7|1.5|480|protein|false
asam pedas|asam pedas ikan|91|10|4|4|1|1.5|520|protein|false
fish head curry|kari kepala ikan|120|9|5|7.3|1.4|2|440|protein|false
ayam goreng berempah|ayam goreng;fried chicken berempah|250|20|8|15|0.5|1|480|protein|true
ayam percik|grilled chicken percik|175|17|5|10|0.6|2.5|420|protein|false
soto ayam|soto|78|6|8|2.5|0.8|1|420|protein|false
yong tau foo|yong tau fu;ytf|100|8|8|4|1.5|1.5|400|protein|false
otak otak|otak-otak|180|10|6|13|0.8|2|600|protein|false

# --- bread and snacks ---
roti canai|roti prata;canai;roti kosong|300|6|38|13|1.5|2|400|grain|false
murtabak|martabak|240|11|22|12|1.3|2|420|grain|false
roti john|john burger|240|11|24|11|1.2|3|480|grain|false
karipap|curry puff;epok epok|267|5|28|15|1.7|2|300|grain|true
popiah|popiah basah;fresh spring roll|110|4|15|3.5|2.5|3|320|vegetable|false
rojak buah|fruit rojak;rojak|140|3.5|20|5|2.5|15|200|fruit|false

# --- sweets ---
apam balik|peanut pancake;terang bulan|267|6|38|11|1.8|15|220|grain|false
pisang goreng|banana fritter;goreng pisang|233|2.5|33|11|2|12|120|fruit|true
cendol|chendol|127|1.5|22|4|0.8|18|40|fruit|false
ais kacang|ice kacang;abc;air batu campur|100|1.7|21|1.4|1.4|17|45|fruit|false

# --- condiments and drinks (kept out of the tier list, but scored on tap) ---
sambal|sambal belacan|150|2|10|11|2|6|900|fat|false
teh tarik|teh susu;pulled tea|72|2|12|2|0|11|30|dairy|false
milo ais|iced milo;milo dinosaur|83|2|14|2.2|0.5|13|40|dairy|false
kopi o|black coffee kopi|30|0.2|7|0|0|7|5|other|false
